date;categorie;montant_ht;tva_20pct;montant_ttc;justificatif;statut
21/04/2022;Restaurant;5000,00;1000,00;6000,00;oui;en attente
13/06/2022;Deplacement;650,99;130,20;781,19;non;en attente
23/03/2023;Deplacement;500,00;100,00;600,00;oui;rejete
15/04/2022;Formation;600,50;120,10;720,60;oui;valide
17/03/2023;Transport;80,00;16,00;96,00;photo floue;en attente
10/05/2023;Telecom;2699,00;539,80;3238,80;non;rejete
24/10/2023;Deplacement;600,00;120,00;720,00;photo floue;rejete
13/05/2023;Deplacement;2500,00;500,00;3000,00;photo floue;en attente
26/03/2022;Deplacement;5000,50;1000,10;6000,60;photo floue;rejete
17/03/2022;Fournitures;650,00;130,00;780,00;photo floue;en attente
01/04/2022;Representation;80,00;16,00;96,00;perdu;valide
03/03/2022;Informatique;3523,00;704,60;4227,60;perdu;en attente
04/07/2023;Taxi/VTC;350,00;70,00;420,00;photo floue;en attente
22/01/2022;Telecom;250,00;50,00;300,00;perdu;en attente
25/09/2023;Fournitures;3643,00;728,60;4371,60;oui;rejete
09/01/2022;Informatique;150,00;30,00;180,00;photo floue;valide
27/11/2022;Deplacement;750,00;150,00;900,00;perdu;en attente
25/01/2022;Restaurant;650,00;130,00;780,00;non;en attente
16/11/2023;Hotel;3000,00;600,00;3600,00;non;rejete
01/02/2023;Hotel;668,50;133,70;802,20;perdu;valide
02/07/2023;Fournitures;750,00;150,00;900,00;perdu;rejete
19/03/2023;Hotel;6000,00;1200,00;7200,00;oui;rejete
30/12/2023;Transport;80,00;16,00;96,00;photo floue;en attente
29/11/2022;Formation;90,00;18,00;108,00;non;en attente
07/08/2023;Deplacement;4000,00;800,00;4800,00;perdu;valide
26/11/2022;Fournitures;2192,00;438,40;2630,40;perdu;en attente
02/06/2023;Restaurant;858,99;171,80;1030,79;non;valide
21/11/2022;Taxi/VTC;450,00;90,00;540,00;oui;en attente
19/05/2022;Deplacement;7000,99;1400,20;8401,19;photo floue;en attente
15/08/2023;Formation;500,50;100,10;600,60;photo floue;en attente
17/09/2023;Formation;4306,99;861,40;5168,39;oui;rejete
06/05/2022;Representation;3013,50;602,70;3616,20;oui;en attente
20/11/2022;Telecom;2500,99;500,20;3001,19;perdu;valide
05/07/2022;Telecom;4500,00;900,00;5400,00;photo floue;valide
29/06/2022;Formation;500,99;100,20;601,19;photo floue;en attente
30/05/2023;Hotel;1202,99;240,60;1443,59;perdu;valide
22/04/2023;Formation;750,00;150,00;900,00;perdu;valide
19/12/2022;Telecom;800,00;160,00;960,00;non;rejete
19/02/2022;Telecom;550,00;110,00;660,00;non;valide
04/05/2023;Restaurant;900,50;180,10;1080,60;oui;en attente
15/08/2022;Deplacement;9500,00;1900,00;11400,00;oui;en attente
15/01/2022;Deplacement;2565,50;513,10;3078,60;perdu;rejete
19/10/2022;Formation;100,99;20,20;121,19;non;en attente
21/11/2023;Informatique;1800,00;360,00;2160,00;non;valide
28/06/2023;Restaurant;300,50;60,10;360,60;non;en attente
25/06/2023;Telecom;4028,00;805,60;4833,60;oui;valide
19/07/2022;Telecom;1000,00;200,00;1200,00;oui;rejete
03/03/2022;Formation;6000,00;1200,00;7200,00;photo floue;rejete
19/07/2022;Formation;300,00;60,00;360,00;non;valide
27/01/2022;Restaurant;400,00;80,00;480,00;oui;en attente
10/09/2022;Informatique;95,99;19,20;115,19;photo floue;rejete
19/11/2023;Fournitures;2691,00;538,20;3229,20;perdu;valide
23/04/2023;Deplacement;700,50;140,10;840,60;non;en attente
13/07/2022;Taxi/VTC;800,00;160,00;960,00;photo floue;valide
20/04/2022;Telecom;2549,00;509,80;3058,80;non;valide
18/01/2022;Telecom;3090,00;618,00;3708,00;photo floue;rejete
18/02/2022;Informatique;400,00;80,00;480,00;oui;rejete
16/11/2023;Hotel;650,50;130,10;780,60;non;en attente
06/01/2022;Transport;9999,00;1999,80;11998,80;non;valide
17/03/2023;Informatique;250,00;50,00;300,00;non;rejete
14/12/2023;Formation;300,00;60,00;360,00;oui;valide
02/09/2022;Restaurant;7000,99;1400,20;8401,19;non;en attente
26/10/2022;Informatique;150,50;30,10;180,60;perdu;rejete
01/03/2022;Formation;450,99;90,20;541,19;oui;valide
01/01/2022;Taxi/VTC;250,00;50,00;300,00;perdu;en attente
03/03/2023;Deplacement;2000,00;400,00;2400,00;oui;rejete
25/12/2022;Fournitures;3000,99;600,20;3601,19;oui;rejete
30/11/2022;Fournitures;4000,00;800,00;4800,00;photo floue;valide
13/10/2023;Representation;4574,00;914,80;5488,80;oui;valide
18/10/2022;Taxi/VTC;800,50;160,10;960,60;non;en attente
03/10/2023;Restaurant;90,50;18,10;108,60;non;valide
12/09/2023;Informatique;250,99;50,20;301,19;oui;en attente
18/09/2022;Hotel;802,00;160,40;962,40;perdu;valide
22/07/2023;Fournitures;1800,00;360,00;2160,00;oui;rejete
16/10/2023;Deplacement;650,00;130,00;780,00;perdu;en attente
